Date,Name,Amount,Category,Card
2022-01-02,Transaction32,54.86,Gasoline,Discover It
2022-01-02,Transaction31,10.14,Merchandise,Discover It
2022-01-03,Transaction16,6.22,Restaurants,USbank Altitude
2022-01-03,Transaction15,5.07,Restaurants,USbank Altitude
2022-01-03,Transaction14,11.04,Restaurants,USbank Altitude
2022-01-03,Transaction13,8.4,Restaurants,USbank Altitude
2022-01-03,Transaction12,5.95,Restaurants,USbank Altitude
