"Date","Transaction","Name","Memo","Amount"
"2021-12-13","CREDIT","INTERNET PAYMENT THANK YOU","INTERNET; 00300; ; ; ;","287.41"
"2021-12-13","DEBIT","Transaction1","24540451347254834057900; 05814; ; ; ;","-2.50"
"2021-12-13","DEBIT","Transaction2","24690511345091284000340; 05812; ; ; ;","-16.23"
"2021-12-15","DEBIT","Transaction3","24427331348720231469618; 05814; ; ; ;","-9.15"
"2021-12-16","DEBIT","Transaction4","24427331349720243964415; 05814; ; ; ;","-11.52"
"2021-12-16","DEBIT","Transaction5","24789301349626600136783; 05812; ; ; ;","-121.09"
"2021-12-17","DEBIT","Transaction6","24231681351400000103106; 05814; ; ; ;","-4.32"
"2021-12-20","DEBIT","Transaction7","24137461352300608576680; 05812; ; ; ;","-9.74"
"2021-12-23","DEBIT","Transaction8","24427331356720235642029; 05814; ; ; ;","-1.72"
"2021-12-24","DEBIT","Transaction9","24793381358000039268720; 05814; ; ; ;","-1.72"
"2021-12-24","DEBIT","Transaction10","24755421357273573080592; 05462; ; ; ;","-12.67"
"2021-12-27","DEBIT","Transaction11","24943001358722715310285; 05812; ; ; ;","-113.61"
"2022-01-03","CREDIT","PAYMENT   THANK YOU","WEB FUTURE; 00300; ; ; ;","304.27"
"2022-01-03","DEBIT","Transaction12","24692162001100601802232; 05814; ; ; ;","-5.95"
"2022-01-03","DEBIT","Transaction13","24427332001720203135516; 05814; ; ; ;","-8.40"
"2022-01-03","DEBIT","Transaction14","24013391365003196052246; 05814; ; ; ;","-11.04"
"2022-01-03","DEBIT","Transaction15","24316051365548458709523; 05541; ; ; ;","-5.07"
"2022-01-03","DEBIT","Transaction16","24688071365030022063966; 05499; ; ; ;","-6.22"
